nccl_dtype,num_gpus,message_size,kernel_source,op_name,latency
half,8,8192,HCCL,reduce_scatter,0.00781
half,16,8192,HCCL,reduce_scatter,0.02193
half,2,14336,HCCL,reduce_scatter,0.00337
half,4,14336,HCCL,reduce_scatter,0.00494
half,8,14336,HCCL,reduce_scatter,0.00808
half,2,16384,HCCL,reduce_scatter,0.00343
half,4,16384,HCCL,reduce_scatter,0.00494
half,8,16384,HCCL,reduce_scatter,0.00823
half,16,16384,HCCL,reduce_scatter,0.02234
half,16,19008,HCCL,reduce_scatter,0.02253
half,8,32320,HCCL,reduce_scatter,0.00932
half,2,32768,HCCL,reduce_scatter,0.00383
half,4,32768,HCCL,reduce_scatter,0.00546
half,8,32768,HCCL,reduce_scatter,0.0092
half,16,32768,HCCL,reduce_scatter,0.02342
half,2,64640,HCCL,reduce_scatter,0.00473
half,4,64640,HCCL,reduce_scatter,0.00694
half,8,64640,HCCL,reduce_scatter,0.01159
half,2,65536,HCCL,reduce_scatter,0.00464
half,4,65536,HCCL,reduce_scatter,0.00692
half,8,65536,HCCL,reduce_scatter,0.01152
half,16,65536,HCCL,reduce_scatter,0.02679
half,8,74880,HCCL,reduce_scatter,0.01237
half,16,75968,HCCL,reduce_scatter,0.02809
half,2,129280,HCCL,reduce_scatter,0.00647
half,4,129280,HCCL,reduce_scatter,0.0106
half,8,129280,HCCL,reduce_scatter,0.01658
half,2,131072,HCCL,reduce_scatter,0.0065
half,4,131072,HCCL,reduce_scatter,0.01061
half,8,131072,HCCL,reduce_scatter,0.0167
half,16,131072,HCCL,reduce_scatter,0.03401
half,8,149760,HCCL,reduce_scatter,0.01841
half,16,163840,HCCL,reduce_scatter,0.03798
half,8,223488,HCCL,reduce_scatter,0.02273
half,2,262144,HCCL,reduce_scatter,0.00859
half,4,262144,HCCL,reduce_scatter,0.01581
half,8,262144,HCCL,reduce_scatter,0.0251
half,16,262144,HCCL,reduce_scatter,0.04677
half,16,284880,HCCL,reduce_scatter,0.05015
half,2,294912,HCCL,reduce_scatter,0.00965
half,4,294912,HCCL,reduce_scatter,0.01755
half,8,294912,HCCL,reduce_scatter,0.02728
half,16,303872,HCCL,reduce_scatter,0.05204
half,16,327680,HCCL,reduce_scatter,0.05336
half,8,465920,HCCL,reduce_scatter,0.03829
half,2,524288,HCCL,reduce_scatter,0.01338
half,4,524288,HCCL,reduce_scatter,0.02689
half,8,524288,HCCL,reduce_scatter,0.04156
half,16,524288,HCCL,reduce_scatter,0.07292
half,16,588752,HCCL,reduce_scatter,0.0805
half,8,595968,HCCL,reduce_scatter,0.04642
half,16,607744,HCCL,reduce_scatter,0.08645
half,2,786432,HCCL,reduce_scatter,0.01808
half,4,786432,HCCL,reduce_scatter,0.038
half,8,786432,HCCL,reduce_scatter,0.0594
half,8,946176,HCCL,reduce_scatter,0.06996
half,2,1048576,HCCL,reduce_scatter,0.02718
half,4,1048576,HCCL,reduce_scatter,0.04925
half,8,1048576,HCCL,reduce_scatter,0.07408
half,16,1048576,HCCL,reduce_scatter,0.12326
half,16,1320960,HCCL,reduce_scatter,0.2161
half,2,1863680,HCCL,reduce_scatter,0.10525
half,4,1863680,HCCL,reduce_scatter,0.14159
half,8,1863680,HCCL,reduce_scatter,0.13649
half,2,2097152,HCCL,reduce_scatter,0.11507
half,4,2097152,HCCL,reduce_scatter,0.149
half,8,2097152,HCCL,reduce_scatter,0.17902
half,16,2097152,HCCL,reduce_scatter,0.29901
half,16,2641920,HCCL,reduce_scatter,0.34715
half,16,2652160,HCCL,reduce_scatter,0.34499
half,8,2781184,HCCL,reduce_scatter,0.17343
half,2,3670016,HCCL,reduce_scatter,0.12052
half,4,3670016,HCCL,reduce_scatter,0.17106
half,8,3670016,HCCL,reduce_scatter,0.20343
half,16,3952640,HCCL,reduce_scatter,0.43161
half,2,4194304,HCCL,reduce_scatter,0.12758
half,4,4194304,HCCL,reduce_scatter,0.17793
half,8,4194304,HCCL,reduce_scatter,0.22257
half,16,4194304,HCCL,reduce_scatter,0.45465
half,16,5263360,HCCL,reduce_scatter,0.52633
half,2,8388608,HCCL,reduce_scatter,0.16228
half,4,8388608,HCCL,reduce_scatter,0.17792
half,8,8388608,HCCL,reduce_scatter,0.37486
half,16,8388608,HCCL,reduce_scatter,0.74577
half,16,9185280,HCCL,reduce_scatter,0.8024
half,2,16777216,HCCL,reduce_scatter,0.16884
half,4,16777216,HCCL,reduce_scatter,0.31575
half,8,16777216,HCCL,reduce_scatter,0.66265
half,16,16777216,HCCL,reduce_scatter,1.51431
half,16,22435840,HCCL,reduce_scatter,1.94602
half,2,33554432,HCCL,reduce_scatter,0.31107
half,4,33554432,HCCL,reduce_scatter,0.58535
half,8,33554432,HCCL,reduce_scatter,1.33605
half,16,33554432,HCCL,reduce_scatter,2.86586
half,16,41943040,HCCL,reduce_scatter,3.65229
