OP State,Accelerator Core,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Average Duration(us),Op Type,Batch,Seq Len,Num Heads,Num KV Heads,Head Size
dynamic,AI_CORE,"1,16,128;16,128,128;16,128,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1,16,128",DT_BF16,ND,48.80,attention_generation,1,2048,16,1,128
dynamic,AI_CORE,"1,16,128;16,128,512;16,128,512",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1,16,128",DT_BF16,ND,49.40,attention_generation,1,2048,16,4,128
dynamic,AI_CORE,"1,16,128;16,128,1024;16,128,1024",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1,16,128",DT_BF16,ND,50.50,attention_generation,1,2048,16,8,128
dynamic,AI_CORE,"1,32,128;16,128,4096;16,128,4096",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1,32,128",DT_BF16,ND,66.25,attention_generation,1,2048,32,0,128
dynamic,AI_CORE,"1,32,128;16,128,128;16,128,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1,32,128",DT_BF16,ND,50.58,attention_generation,1,2048,32,1,128
dynamic,AI_CORE,"1,32,128;16,128,512;16,128,512",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1,32,128",DT_BF16,ND,50.67,attention_generation,1,2048,32,4,128
dynamic,AI_CORE,"1,32,128;16,128,1024;16,128,1024",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1,32,128",DT_BF16,ND,49.74,attention_generation,1,2048,32,8,128
dynamic,AI_CORE,"1,40,128;16,128,5120;16,128,5120",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1,40,128",DT_BF16,ND,70.94,attention_generation,1,2048,40,0,128
dynamic,AI_CORE,"1,40,128;16,128,128;16,128,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1,40,128",DT_BF16,ND,34.07,attention_generation,1,2048,40,1,128
dynamic,AI_CORE,"1,40,128;16,128,512;16,128,512",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1,40,128",DT_BF16,ND,44.80,attention_generation,1,2048,40,4,128
dynamic,AI_CORE,"1,40,128;16,128,1024;16,128,1024",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1,40,128",DT_BF16,ND,47.84,attention_generation,1,2048,40,8,128
dynamic,AI_CORE,"1,64,128;16,128,8192;16,128,8192",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1,64,128",DT_BF16,ND,77.27,attention_generation,1,2048,64,0,128
dynamic,AI_CORE,"1,64,128;16,128,128;16,128,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1,64,128",DT_BF16,ND,35.05,attention_generation,1,2048,64,1,128
dynamic,AI_CORE,"1,64,128;16,128,512;16,128,512",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1,64,128",DT_BF16,ND,46.94,attention_generation,1,2048,64,4,128
dynamic,AI_CORE,"1,64,128;16,128,1024;16,128,1024",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1,64,128",DT_BF16,ND,47.49,attention_generation,1,2048,64,8,128
dynamic,AI_CORE,"1,8,128;32,128,1024;32,128,1024",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1,8,128",DT_BF16,ND,57.17,attention_generation,1,4096,8,0,128
dynamic,AI_CORE,"1,8,128;32,128,128;32,128,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1,8,128",DT_BF16,ND,34.41,attention_generation,1,4096,8,1,128
dynamic,AI_CORE,"1,8,128;32,128,512;32,128,512",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1,8,128",DT_BF16,ND,45.94,attention_generation,1,4096,8,4,128
dynamic,AI_CORE,"1,8,128;32,128,1024;32,128,1024",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1,8,128",DT_BF16,ND,57.06,attention_generation,1,4096,8,8,128
dynamic,AI_CORE,"1,16,128;32,128,2048;32,128,2048",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1,16,128",DT_BF16,ND,65.70,attention_generation,1,4096,16,0,128
dynamic,AI_CORE,"1,16,128;32,128,128;32,128,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1,16,128",DT_BF16,ND,36.98,attention_generation,1,4096,16,1,128
dynamic,AI_CORE,"1,16,128;32,128,512;32,128,512",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1,16,128",DT_BF16,ND,45.48,attention_generation,1,4096,16,4,128
dynamic,AI_CORE,"1,16,128;32,128,1024;32,128,1024",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1,16,128",DT_BF16,ND,64.26,attention_generation,1,4096,16,8,128
dynamic,AI_CORE,"1,32,128;32,128,4096;32,128,4096",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1,32,128",DT_BF16,ND,80.31,attention_generation,1,4096,32,0,128
dynamic,AI_CORE,"1,32,128;32,128,128;32,128,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1,32,128",DT_BF16,ND,37.53,attention_generation,1,4096,32,1,128
dynamic,AI_CORE,"1,32,128;32,128,512;32,128,512",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1,32,128",DT_BF16,ND,46.12,attention_generation,1,4096,32,4,128
dynamic,AI_CORE,"1,32,128;32,128,1024;32,128,1024",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1,32,128",DT_BF16,ND,65.65,attention_generation,1,4096,32,8,128
dynamic,AI_CORE,"1,40,128;32,128,5120;32,128,5120",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1,40,128",DT_BF16,ND,85.33,attention_generation,1,4096,40,0,128
dynamic,AI_CORE,"1,40,128;32,128,128;32,128,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1,40,128",DT_BF16,ND,39.29,attention_generation,1,4096,40,1,128
dynamic,AI_CORE,"1,40,128;32,128,512;32,128,512",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1,40,128",DT_BF16,ND,46.70,attention_generation,1,4096,40,4,128
dynamic,AI_CORE,"1,40,128;32,128,1024;32,128,1024",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1,40,128",DT_BF16,ND,65.14,attention_generation,1,4096,40,8,128
dynamic,AI_CORE,"1,64,128;32,128,8192;32,128,8192",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1,64,128",DT_BF16,ND,101.64,attention_generation,1,4096,64,0,128
dynamic,AI_CORE,"1,64,128;32,128,128;32,128,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1,64,128",DT_BF16,ND,41.62,attention_generation,1,4096,64,1,128
dynamic,AI_CORE,"1,64,128;32,128,512;32,128,512",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1,64,128",DT_BF16,ND,67.73,attention_generation,1,4096,64,4,128
dynamic,AI_CORE,"1,64,128;32,128,1024;32,128,1024",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1,64,128",DT_BF16,ND,65.62,attention_generation,1,4096,64,8,128
dynamic,AI_CORE,"1,8,128;64,128,1024;64,128,1024",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1,8,128",DT_BF16,ND,63.47,attention_generation,1,8192,8,0,128
